אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
אן יכון צאדקא ועד'רה	أن يكون صادقًا وعُذره
מקבולא . ואמא מן אלכתאב	مقبولاً . وأمّا من الكتاب
, פכמא קדמנא מן H : H	, فكما قدّمنا من H : H
: ומא קאל ללכ'אטיין H	: وما قال للخاطئين H
: H : H H H H ומא פצח	: H : H H H H وما فصح
אלבארי באלתברי מן כ'טאיהם	الباري بالتبرّؤ من خطأهم
בקולה : H H H H H H H	بقوله : H H H H H H H
H H H H H H H H H H H	H H H H H H H H H H H
. ומא באלתברי מן פעל	. وما بالتبرّؤ من فعل
אלכאד'בין בקולה H : H	الكاذبين بقوله H : H
: H H H H H H H H H ומא	: H H H H H H H H H وما
אשבה ד'לך . וממא פי אלאת'אר	أشبه ذلك . وممّا في الآثار
, מא נקל אלקדמא H H H	, ما نقله القدماء H H H
H H H H H H H H H H H	H H H H H H H H H H H
H H H H H H H H H H H	H H H H H H H H H H H
. ועלי אנה לם יבק בעד	. وعلى أنه لم يبق بعد
הד'ה אלאפצאחאת חאל תלתמס	هذه الإفصاحات حال تلتمس
, אכ'ד' אלכתאב פי נפי	, أخذ الكتاب في نفي
אלג'בר בת'לאת'ה אצול	الجبر بثلاثة أصول
אכ'ר אלאול אעג'אב אעג'ב	أُخر الأول إعجاب أعجب
אלנאס מן הד'א אלאמר פקאל	الناس من هذا الأمر فقال
H : H : H H ואלת'אני	H : H : H H والثاني
את'באתה את'באתא אן הד'א	إثباته إثباتًا أنَّ هذا
אלשי לא יכון פקאל H :	الشيء لا يكون فقال H :
H : H H H ואלת'אלת' קסם	H : H H H والثالث قسَّم
עליה קסמא פקאל H : H	عليه قَسَمًا فقال H : H
: H H H H H H H H H פאחאט	: H H H H H H H H H فأحاط
בה מן כל ג'הה ותועד'	به من كلّ جهة وتوعّد
פיה . ובעד הד'א אלביאן	فيه . وبعد هذا البيان
אתבעה בהד'ה אלמסאיל ואקול	اتبعه بهذه المسائل وأقول
, לעל קאילא יקול פאד'א	, لعلّ قائلاً يقول فإذا
כאן עלי מא בין אנה לא	كان على ما بيَّن إنه لا
יריד מעציהֿ עאץ , פכיף	يريد معصية عاصٍ , فكيف
ג'אז אן יכון פי עאלמה	جاز أن يكون في عالمه
מא לא יחסנה או מא לא	ما لا يُحسنه أو ما لا
ירצ'י בה ואלג'ואב ען	يرضى به والجواب عن
הד'א קריב , והו , אלמנכר	هذا قريب , وهو , المنكر
ענדנא אן ידע אלחכים פי	عندنا أن يدع الحكيم في
מלכה מא לא ירידה או מא	ملكه ما لا يريده أو ما
לא ירצ'י בה אנמא יכון	لا يرضى به إنما يكون
פי אלאנסאן , לאן אלאנסאן	في الإنسان , لأنَّ الإنسان
אנמא יכרה אלשי אד'א כאן	إنما يكره الشيء إذا كان
יצ'רה , ורבנא ליס יכרה	يضرّه , وربّنا ليس يكره
הד'ה אלמעאצי לד'אתה ,	هذه المعاصي لذاته ,
אד' לא יג'וז אן ילחקה	إذ لا يجوز أن يُلحقه
ערץ' מן אלאעראץ' , ואנמא	عرض من الأعراض , وإنما
כרההא לנא לאנהא תצ'רנא	كرهها لنا لأنها تضرّنا
, לאנא אן תעדינא עליה	, لأنّا إن تعدّينا عليه
פלם נעתרף לה בחקה ג'הלנא	فلم نعترف له يحقّه جهلنا
, ואן תעדי בעצ'נא עלי	, وإن تعدّى بعضنا على
בעץ' אהלכנא אנפסנא ואמואלנא	بعض أهلكنا أنفسنا وأموالنا
, פאד' אלאמר מכשוף עלי	, فإذ الأمر مكشوف على
הד'א פליס במנכר אן יכון	هذا فليس بمنكر أن يكون
פי עאלמה מא נכרהה נחן	في عالمه ما نكرهه نحن
ומא בין לנא אנה מכרוה	وما بيّن لنا أنه مكروه
ענדה לנא עלי טריק אלאשפאק	عنده لنا على طريق الإشفاق
, וקד פצח בד'לך פי אלכתאב	, وقد فضح بذلك في الكتاب
וקאל H : H : H H H H	وقال H : H : H H H H
H H H . ולעלה אן יקול	H H H . ولعلّه أن يقول
איצ'א אד' כאן עאלמא במא	أيضًا إذ كان عالمًا بما
יכון קבל אן יכון פקד	يكون قبل أن يكون فقد
עלם כאן אלאנסאן סיעציה	علم بأنَّ الإنسان سيعصيه
, פלא בד מן אן יעציה	, فلا بدّ من أن يعصيه
אלאנסאן חתי יתם מא עלמה	الإنسان حتى يتم ما علمه
. וכשף הד'ה אלשבהה אבין	. وكشف هذه الشبهة أبين
מן אלאולי , והו אן קאיל	من الأولى , وهو أنَّ قائل
הד'א ליס מעה דליל עלי	هذا ليس معه دليل على
אן עלם אלכ'אלק באלאשיא	أنَّ علم الخالق بالأشياء
הו סבב כונהא , אנמא הו	هو سبب كونها , إنما هو
קול תוהמה או תעמדה וביאן	قول توهّمه أو تعمّده وبيان
פסאד הד'א אנה לו כאן	فساد هذا أنه لو كان
עלם אללה באלשי הו סבב	علم الله بالشيء هو سبب
כון אלשי לכאנת אלאשיא	كون الشيء لكانت الأشياء
קדימה לם תזל אד' לם יזל	قديمة لم تزل إذ لم يزل
עלמה בהא , ואנמא נעתקד	علمه بها , وإنما نعتقد
אנה יעלם אלאשיא עלי מת'ל	أنه يعلم الأشياء على مثل
חקיקהֿ כונהא , פמא כאן	حقيقة كونها , فما كان
מנהא ממא יחדת'ה הו פקד	منها ممّا يحدثه هو فقد
עלם באנה סיחדת'ה , ומא	علم بأنه سيحدثه , وما
כאן מנהא ממא יכ'תארה	كان منها ممّا يختاره
אלאנסאן פקד עלם באן אלאנסאן	الإنسان فقد علم بأنَّ الإنسان
סיכ'תארה . פאן קאל פאד'א	سيختاره . فإنْ قال فإذا
עלם אללה אן אלאנסאן סיתכלם	علم الله أنَّ الإنسان سيتكلّم
הל יג'וז אן יסכת ? ,	هل يجوز أن يسكت ? ,
קלנא בלסאן פציח אן אלאנסאן	قلنا بلسان فصيح إنَّ الإنسان
לו כאן ליסכת בדלא מן	لو كان ليسكت بدلاً من
אן יתכלם לכנא נצ'ע פי	أن يتكلّم لكنّا نضع في
אצל אלקול אן אללה עלם	أصل القول إنَّ الله علم*
אן אלאנסאן סיסכת , ולם	أنَّ الإنسان سيسكت , ولم
יכון יג'וז אן נצ'ע אנה	يكن يجوز أن نضع أنه
עלם אן אלאנסאן סיתכלם	علم أنَّ الإنسان سيتكلّم
, לאנה אנמא יעלם אלחאצל	, لأنه إنما يعلم الحاصل
מן פעל אלאנסאן אלואקע	من فعل الإنسان الواقع
בעד כל תדביר מנה ותקדים	بعد كلّ تدبير منه وتقديم
ותאכ'יר , פד'אך בעינה	وتأخير , فذاك بعينه
אלד'י יעלם כמא קאל :	الذي يعلم كما قال :
H H H H וקאל H : H :	H H H H وقال H : H :
H H H H H H . ווג'דת	H H H H H H . ووجدتُ
אלנאס יתסאלון פי הד'א	الناس يتساءلون في هذا
אלבאב מא וג'ה אלחכמה	الباب ما وجه الحكمة
אן יאמר וינהי אלצאלח	أن يأمر وينهي الصالح
אלד'י עלם מנה אנה לא	الذي علم منه أنه لا
יזול ען טאעתה ? , פאצבת	يزول عن طاعته ? , فأصبت
לד'לך ארבעה וג'וה , מנהא	لذلك أربعة وجوه , منها
ליערפה מא יריד מנה .	ليعرّفه ما يريد منه .
ומנהא ליכמל לה אלת'ואב	ومنها ليكمل له الثواب
, לאנה אן פעל טאעתה והו	, لأنه إن فعل طاعته وهو
גיר מאמור לם יכון לה	غير مأمور لم يكن له
עליהא ת'ואב . ומנהא לאנה	عليها ثواب . ومنها لأنه*
לו ג'אז אן ית'יבה עלי	لو جاز أن يثيبه على
מא לם יאמרה לג'אז אן	ما لم يأمره لجاز أن
יעאקבה עלי מא לם ינהה	يعاقبه على ما لم ينهه
, פכאן ד'לך ג'ורא . ומנהא	, فكان ذلك جورًا . ومنها
אן יעיד עליה אלאמר מע	أن يعيد عليه الأمر مع
אלרסול מע אלאמר אלד'י	الرسول مع الأمر الذي
פי עקלה ליחד'ר ויחתרז	في عقله ليحذر ويحترز
ויסתט'הר , כקולה H :	ويستظهر , كقوله H :
H : H H H H H H H H H	H : H H H H H H H H H
H H H . ויתסאלון איצ'א	H H H נזהר ويتساؤلون أيضًا
מא וג'ה אלחכמה פי אלרסאלה	ما وجه الحكمة في الرسالة
אלי אלכפאר אלד'ין קד	إلى الكفّار الذين قد
עלם מנהם אנהם לא יומנון	علم منهم أنهم لا يؤمنون
, וישבהון הד'א באלעבת'	, ويشبّهون هذا بالعبث
. פאצבת לד'לך וג'והא	. فأصبتُ لذلك وجوهًا
סתה . מנהא אנה לו לם	ستة . منها أنه لو لم
יבעת' אלי אלכפאר רסאלה	يبعث إلى الكفّار رسالة
ורסם להם אלאימאן לכאן	*ورسم لهم الإيمان لكان
להם עד'ר , יקולון לו	لهم عذر , يقولون لو
ג'אנא רסול לאמנא בה .	جاءنا رسول لآمنّا به .
ומנהא אן אלד'י פי אלעלם	ومنها أنَّ الذي في العلم
לו לם יכ'רג' אלי אלפעל	لو لم يخرج إلى الفعل
לכאן אלת'ואב ואלעקאב	لكان الثواب والعقاب
עלי עלמה לא עלי אפעאל	على علمه لا على أفعال
אלעבאד . ומנהא אן דלאילה	العباد . ومنها أنَّ دلائله
אלחסיה ואלעקליה כמא נצבהא	الحسّية والعقلية كما نصبها
פי אלעאלם ללמומן ואלכאפר	في العالم للمؤمن والكافر
, כד'אך וג'ב אן תעם דלאילה	, كذاك وجب أن تعمّ دلائله
אלנבויה אלמומנין ואלכאפרין	النبوية المؤمنين والكافرين
. ומנהא אנה כמא צח לנא	. ومنها أنه كما صحّ لنا
אנה מן אמר באלקביח למן	أنه من أمر بالقبيح لمن
לא יפעלה כאן מסיא אליה	لا يفعله كان مسيئًا إليه
ויסמא ג'אהלא כד'אך מן	ويُسمّى جاهلاً كذاك من
אמר באלאחסאן למן לא יפעלה	أُمر بالحسن لمن لا يفعله
מחסן אליה ויסמי חכימא	محسن إليه ويُسمّى حكيمًا
. ומנהא אן אלאמר באלחסן	. ومنها أنَّ الآمر بالحسن
אן כאן אד'א תרך אלמאמור	إنْ كان إذا ترك المأمور
קבול אמרה יציר אמרה ג'הלא	قبول أمره يصير أمره جهلاً
לעלה מא לם יקבלה פכד'לך	لعلّة ما لم يقبله فكذاك
מן אמר באלקביח למן יקבלה	من أمرَ بالقبيح لمن يقبله
יציר אמרה חכמה אד' יקבלה	يصير أمره حكمة *إذ يقبله
אלמאמור בה , פתתקלב חקאיק	المأمور به , فتقلّب حقائق
אלחסן ואלקביח ותציר בחסב	الحسن والقبيح وتصير بحسب
אלקבול , והד'א מחאל .	القبول , وهذا محال .
ומנהא אנה כמא סאוי בינהמא	ومنها أنه كما ساوى بينهما
פי אלעקל ואלקדרה ואלאסתטאעה	في العقل والقدرة والاستطاعة
כד'אך יג'ב אן יסאוי בינהמא	كذاك يجب أن يساوى بينهما
פי אלאמר ואלרסאלה . ובעד	في الأمر والرسالة . وبعد
ד'לך אקול אן אלעאבת'	ذلك أقول إنَّ العابث
אנמא יכון מן פעל שיא	إنما يكون مَن فعل شيئًا
לם ינתפע בה אחד ואמא	لم ينتفع به أحد وأمّا
רסאלהֿ אללה אלי אלכפאר	رسالة الله إلى الكفّار
פאן כאנוא הם אכ'תארוא	فإن كانوا هم اختاروا
אלא ינתפעוא בהא ולא יתאדבוא	ألاّ ينتفعوا بها ولا يتأدّبوا
, פאן אלמומנין וסאיר	, فإنَّ المؤمنين وسائر
אלנאס קד תאדבוא בהא ואעתברוא	الناس قد تأدّبوا بها واعتَبروا
וכמא תרי אן אלעבאד אלי	وكما ترى أنَّ العباد إلى
אלאן ולי אלאבד יתנאקלון	الآن وإلى الأبد يتناقلون
כ'בר אלטופאן וכ'בר H	خبر الطوفان وخبر H
H וכ'בר פרעון ומא אשבההם	H وخبر فرعون وما أشبههم
. ויתסאלון אד' כאן אסלאם	. ويتساؤلون إذ كان إسلام
אלעבד ללקתל מן אחד אפעאל	العبد للقتل من أحد أفعال
אללה אמא עקובה לה או	الله إمّا عقوبة له أو
בלוי פאד'א קתלה מתעד	بلوى فإذا قتله متعدّ
מת'ל H לבעץ' אלאנביא	مثل H لبعض الأنبياء
, כיף נקול אלקול פי ד'לך	, كيف نقول القول في ذلك
אלפעל ואלי מן ננסבה פנקול	الفعل وإلى من ننسبه فنقول
אן אלאכ'תראם פעל אללה	إنَّ الاخترام فعل الله
, ואלקתל פעל אלמתעדי	, والقتل فعل المتعدّي
פאן כאנת אלחכמה קד אוג'בת	فإنْ كانت الحكمة قد أوجبت
אלאכ'תראם פלו לם יתעד	الاخترام فلو لم يتعدّ
הד'א אלקאתל פיקתלה להלך	هذا القاتل فيقتله لهلك
בסבב אכ'ר . וכד'לך אלקול	بسبب آخر . وكذلك القول
פי אלסארק אד'א כאן אד'האב	في السارق إذا كان إذهاب
אללה לבעץ' אמואל אלנאס	الله لبعض أموال الناس
אמא עקובה להם ، ואמא	إمّا عقوبة لهم ، وإمّا
מחנה פכיף אלקול פי אלסרק	محنة فكيف القول في السرق
הו פעל מן אללה ? ואלג'ואב	هو فعل من الله ? والجواب
אן אלתלאף פעל אללה ,	إنَّ التلاف فعل الله ,
ואלסרקה פעל אלנאס פאד'	والسرقة فعل الناس فإذ
אוג'בת אלחכמה תלף ד'לך	أوجبت الحكمة تلف ذلك
אלשי , לו לם יסרקה אלסארק	الشيء , لو لم يسرقه السارق
להלך בוג'וה אכ'רי וכד'י	لهلك بوجوه أخرى وكذا
אג'אב H ואכ'יה לבעץ'	أجاب H وأخوه لبعض
מלוך אלרום פקאלוא H H	ملوك الروم فقالوا H H
H H H H H H H H H H H	H H H H H H H H H H H
H . ויתסאלון איצ'א כיף	H . ويتساؤلون أيضًا كيف
עוקב H עליה אלסלאם עלי	عوقب H عليه السلام على
מא פעלה מן אלמעציה בתסביב	ما فعله من المعصية بتسبيب
H אן יפעל מת'להא בל אעט'ם	H أن يفعل مثلها بل أعظم
מנהא , כמא קאל : H H	منها , كما قال : H H
H H H H H H H H H H H	H H H H H H H H H H H
H ? פאקול אן הד'א אלכ'בר	H ? فأقول إنَّ هذا الخبر
אלד'י אכ'בר בה H H עלי	الذي أَخبر به H H على
קסמין , אחדהמא פעל אללה	قسمين , أحدهما فعل الله
והו אט'פאר H ובסט ידיה	وهو إظفار H وبسط يديه
ואלתסלים לה ג'מיע מא	والتسليم له جميع ما
כאן H וענה קאל H H H	كان H وعنه قال H H H
H H ואלאכ'ר פעל H באכ'תיארה	H H والآخر فعل H باختياره
ואליה אשאר בקולה H H	وإليه أشار بقوله H H
H H H H ואנמא אראד בתקדימה	H H H H وإنما أراد بتقديمه
כ'בר אכ'תיאר H עלי H	خبر اختيار H على H
ליוג'ע קלבה בד'לך . ויתסאלון	ليوجع قلبه بذلك . ويتساءلون
ען כ'בר H H ומא אתיא	عن خبر H H وما أتيا
פי אלעאלם מן אלקתל ואלכ'ראב	في العالم من القتل والخراب
וסאיר אנואע אלט'לם ,	وسائر أنواع الظلم ,
פכיף קאל אללה תעאלי ען	فكيف قال الله تعالى عن
אחדהמא אנה עצאה אד' קאל	أحدهما إنه عصاه إذ قال
פי H : H H H H H H H	في H : H H H H H H H
וען אלאכ'ר אנה סיפה אד'	وعن الآخر إنه سيفه إذ
קאל פי H : H H H H H	قال في H : H H H H H
H H H H . פנקול מוצ'ע	H H H H בידו فنقول موضع
פעל אללה תבארך ותעאלי	فعل الله تبارك وتعالى
להד'ין וגירהמא הו אעטא	لهذين وغيرهما هو إعطاء
אלקוה ואלתאייד ، כמא	القوة والتأييد ، كما
מת'ל באלסיף ואלעצא ומע	مثّل بالسيف والعصا ومع
ד'לך כל מא פעלאה וג'נודהמא	ذلك كلّ ما فعلاه وجنودهما
פבאכ'תיארהמא יסתחקאן	فباختيارهما يستحقّان
עליה אלמג'אזאה , פמנהא	عليه المجازاة , فمنها
קאל H H H H H H H , H	قال H H H H H H H , H
H H ، H H : H : H H .	H H ، H H : H : H H .
ויתסאלון איצ'א אד' ג'מיע	ويتساءلون أيضًا إذ جميع
אלחואדת' חאדת'ה ען אמרה	الحوادث حادثة عن أمره
, פאד'א סבב למומן מא	, فإذا سبّب لمؤمن ما
יצ'טרה אלי אלכד'ב פהו	يضطرّه إلى الكذب فهو
אצט'רה אלי אלכד'ב ? פפי	اضطرّه إلى الكذب ? ففي
הד'א ג'ואבאן , אחדהמא	هذا جوابان , أحدهما
אן אלנאט'ר אד'א ג'וד	أنَّ الناظر إذا جوّد
אלנט'ר פי כיף אצ'טר אלאנסאן	النظر في كيف اضطرّ الإنسان
אלי אלכד'ב , וג'ד לה	إلى الكذب , وجد له
סבבא מן כ'טא אלאנסאן	سببًا من خطأ الإنسان
פי תדבירה ואחאלתה ד'אך	في تدبيره وإحالته ذاك
עלי רבה וכמא קאל : H	على ربّه وكما قال : H
H H H H H H H . ואלאכ'ר	H H H H H H H . والآخر
אנה מע אלעקל אלד'י רכבה	إنه مع العقل الذي ركّبه
פיה לן יצ'טר אלי אלכד'ב	فيه لن يضطرّ إلى الكذب
אבדא , לאנה אד'א קאל	أبدًا , لأنه إذا قال
קולא יחתמל אן ימיז עלי	قولاً يحتمل أن يميّز على
חקיקתה במג'אז מן אללגה	حقيقته بمجاز من اللغة
פהו צאדק , וליס עליה	فهو صادق , وليس عليه
ממא יתאול אלמעתרץ' כלאמה	ممّا يتأوّل المعترض كلامه
, וד'לך כמא קאל H עליה	, وذلك كما قال H عليه
אלסלאם ען H H H והו יעני	السلام عن H H H وهو يعني
תפסירה נסיבתי , כמא וג'דנא	تفسيره نسيبتي , كما وجدنا
H סמי H מן טריק אללגה	H سُمِّي H من طريق اللغة
והם תוהמוא אנהא אכ'תה	وهم توهّموا إنها أخته
עלי אלחקיקה , פלם יכון	على الحقيقة , فلم يكن
עליה הו ג'נאח בל כאן	عليه هو جناح بل كان
עליהם ואנהם תעדוא , אד'	عليهم لأنهم تعدّوا , إذ
סביל אלגריב אן יסאל ען	سبيل الغريب أن يُسئل عن
אחואלה וען מצאלחה ועמא	أحواله وعن مصالحه وعمّا
יעוזה , וליס סבילה אן	يعوزه , وليس سبيله أن
יסאל עמא מעה אי שי הו	يُسئل عمّا معه أي شيء هو
, ולא סימא וקד וקעת לה	, ولا سيما وقد وقعت له
תג'רבה בגירה כקולה :	تجربة بغيره كقوله :
H H H H H H H H . ואד'	H H H H H H H H . وإذ
קד תכלמת פי הד'ה אלמסאיל	قد تكلّمت في هذه المسائل
במא פיה כפאיה , פילזם	بما فيه كفاية , فيلزم
אלנאט'ר פי הד'א אלכתאב	الناظر في هذا الكتاب
אן יתאמל אג'ובתהא פי	أن يتأمّل أجوبتها في
כל מא וג'דה מת'להא .	كلّ ما وجده مثلها .
ת'ם אצ'ם אלי הד'א אלקול	ثمّ أضمُّ إلى هذا القول
ג'מלהֿ אלפואסיק אלתי	جملة الفواسيق التي
פיהא שבה ושכוך פי מעני	فيها شبه وشكوك في معنى
אלג'בר , ולמעני כת'רתהא	الجبر , ولمعنى كثرتها
בסבב אתסאע אללגה ، כמא	بسبب اتّساع اللغة ، كما
ד'כרת פי מקאלהֿ אלתוחיד	ذكرت في مقالة التوحيد
، אן אללגה אן לם תתסע	، أنَّ اللغة إنْ لم تتّسع
לם יוג'ד פיהא אכת'ר מן	لم يوجد فيها أكثر من
ד'כר עין אלשי פקט ראית	ذكر عين الشيء فقط رأيت
אן את'בת אג'נאס תכ'ריג'הא	أن أُثبت أجناس تخريجها
חתי תואפק מא פי אלעקל	حتى توافق ما في العقل
פאד'א עדדת כם ג'נס הי	فإذا عددت كم جنس هي
، וחכית מן כל ג'נס מנהא	، وحكيت من كلّ جنس منها
אבעאצ'א ، פאלמטלע פי	أبعاضًا ، فالمطّلع في
אלכתאב יצ'ם כל נוע וכל	الكتاب يضمّ كلّ نوع وكلّ
שכ'ץ אלי ג'נסה בעקלה	شخص إلى جنسه بعقله
ופהמה פאקול אנהא ת'מאניה	وفهمه فأقول إنها ثمانية
אג'נאס . אלאול מנהא באב	أجناس . الأول منها باب
אלנהי , תשאבה עלי אלנאס	النهي , تشابه على الناس
אלמנע באלנהי ומנע אלפעל	المنع بالنهي ومنع الفعل
, ובינהמא אלפרק אלכביר	, وبينهما الفرق الكبير
ד'לך כקול אללה ג'ל ועז	ذلك كقول الله جلّ وعزّ
ען H : H H H H H H ,	عن H : H H H H H H ,
ט'נוא אנה מנע פעלה ,	ظنّوا أنه منع فعله ,
ואנמא מנעה באלנהי ואלתעריף	وإنما منعه بالنهي والتعريف
אנהא H H ואלתהדד לה כקולה	أنها H H والتهدّد له كقوله
: H H H H H H וקאל לה	: H H H H H H وقال له
איצ'א : H H H H H H H	أيضًا : H H H H H H H
, פמנע H ען תלך אלמראה	, فمَنعَ H من تلك المرأة
חתי לם יקדר אן יקרבהא	حتى لم يقدر أن يقربها
כקולה H H H H H H הו	كقوله H H H H H H وهو
כמנע אלמטלק אן יראג'ע	كمنع المطلق أن يراجع
מטלקתה בעד תזוג'הא בגירה	مطلقته بعد تزوّجها بغيره
، כקולה H : H : H H H	، كقوله H : H : H H H
H H H פהו יקדר באלאכ'תיאר	H H H فهو يقدر بالاختيار
וליס יקדר באלשריעה וכקולה	وليس يقدر بالشريعة وكقوله
H : H : H H H H H ומא	H : H : H H H H H وما
אשבה ד'לך . ואלת'אני	أشبه ذلك . والثاني
אלצד ען מצאלח אלדניא	الصدّ عن مصالح الدنيا
עקובה , תשבהת לה באלצד	عقوبة , تشبّهت له بالصدّ
ען מצאלח אלדין , פתוהמוא	عن مصالح الدين , فتوهّموا
ד'לך ג'ברא , וד'לך מת'ל	ذلك جبرًا , *وذلك مثل
קולה : H H H H H H H	قول : H H H H H H H
H ואלכתאב יעני בד'לך	H والكتاب يعني بذلك
אן יחדת' H סבבא פלא יתבינוא	أن يحدث H سببًا فلا يتبيّنوا
אמור דניאהם מן H ואפה	أمور دنياهم من H وآفة
ומא מאת'להא פיתחירון	وما ماثلها فيتحيّرون
פי צואב ד'לך אלעמל ,	في صواب ذلك العمل ,
כקולה H : H : H וכקולה	كقوله H : H : H وكقوله
: H H H ، H H H ، H H	: H H H ، H H H ، H H
H וקאל : H H H H H .	H وقال : H H H H H .
. . H H H H H והאולא	. . H H H H H وهؤلاء
תוהמוה אנה פי אמר אלדין	توهّموه أنه في أمر الدين
, ויכון מעני H H H ירג'עון	, ويكون معنى H H H يرجعون
ען מחארבהֿ עדוהם פיסתריחון	عن محاربة عدوّهم فيستريحون
מנה , כמא קאל פי אלחרב	منه , كما قال في الحرب
H : H : H H H H H H H	H : H : H H H H H H H
. ואלת'אלת' פי תקויהֿ	. والثالث في تقوية
אלנפס ענד ורוד ג'איחה	النفس عند ورود جائحة
מן בלא ומן כ'בר ללא יהלך	من بلاء ومن خبر لئلاّ يهلك
מנהמא אלאנסאן , סמעוהא	منهما الإنسان , سمعوها
פי אלכתאב פט'נוא אנהא	في الكتاب فظنّوا أنها
תקויהֿ אלקלוב מן קבול	تقوية القلوب من قبول
אלטאעה , ולא סימא אד'	الطاعة , ولا سيما إذ
נסבהא אלכתאב אלי אלקלב	نسبها الكتاب إلى القلب
למוצ'ע כון אלנפס פיה	لموضع كون النفس فيه
, וד'לך קולה H : H :	, وذلك قوله H : H :
، H : H : H H H ، H H	، H : H : H H H ، H H
H : H H H H וקאל פי H	H : H H H H وقال في H
: H : H H H H H פאחתאג'	: H : H H H H H فاحتاج
H אלי תקויהֿ נפסה ללא	H إلى تقوية نفسه لئلاّ
יהלך בתלך אלאפה , בל	يهلك بتلك الآفة , بل
יבקי חתי יתם פיה באקי	يبقى حتى يتمّ فيه باقي
אלעד'אב , וקד בין לה	العذاب , وقد بيّن له
ד'לך אד' קאל H H H :	ذلك إذ قال H H H :
H H H H H H H H . ואמא	H H H H H H H H העמדתיך وأمّا
H פאחתאג' אלי אלתקויה	H فاحتاج إلى التقوية
ללא יהלך ען הול אכ'באר	لئلاّ يهلك عن هول أخبار
בני אסראיל כקולה פי וקתה	بني إسرائيل كقوله في وقته
H : H : H H H H . וכד'לך	H : H : H H H H מפניך وكذلك
אהל בלד H אחתאג'וא אלי	أهل بلد H احتاجوا إلى
תקויה ללא יהלכהם אהואל	تقوية لئلاّ تهلكهم أهوال
אלכ'בר כקולה H : ؛ :	الخبر كقوله H : ؛ :
: H H , פלד'לך קאל H	: H H , فلذلك قال H
H H H H H H H H H H H	H H H H H H H H H H H
H . ואלראבע אלתנזיל ואלתרתיב	H . والرابع التنزيل والترتيب
ראי אלנאס ד'כרה פי פט'נוא	رأى الناس ذكره في فظنّوا
אנה תפעיל ותחמיל , וד'לך	أنه تفعيل وتحميل , وذلك
אן אלבציר בצנאעה יחקק	أنَّ البصير بصناعة يحقّق
אלחק מנהא ויבטל אלבאטל	الحقّ منها ويبطل الباطل
כמא נקול אן אלקאצ'י צדק	كما نقول إنَّ القاضي صدَّق
H וכד'ב H ואנה עדל H	H وكذَّب H وإنه عدل H
וט'לם H וליס יריד בד'לך	وظلم H وليس يريد بذلك
אנה חמל אחדהמא עלי פעל	أنه حمل أحدهما على فعل
שי ולא אמרה בה ואנמא	شيء ولا أمره به وإنما
יריד בד'לך אנה בין עליה	يريد بذلك أنه بيَّن عليه
וכשפה לה ונזלה מנזלתה	وكشفه له ونزَّله منزلته
ועלי מא קאלת אלתוריה	وعلى ما قالت التورية
אלמקדסה H : H : H H H	المقدّسة H : H : H H H
H . וכד'לך יקאל צחח אלחאכם	H . وكذلك يقال صحّح الحاكم
כתאב פלאן וזוור כתאב	كتاب فلان وزوّر كتاب
פלאן לם יזורה באלפעל	فلان لم يزوّره بالفعل
, ולכן באלאבאנה . ובלגני	, ولكن بالإبانة . وبلغني
אנה יקאל ען אלדינארין	أنه يقال عن الدينارين
אן אלנאקד ג'וד הד'א ונקש	أنّ الناقد جوّد هذا ونقش
הד'א ליס יענון אנה נקשה	هذا ليس يعنون أنه نقشه
בידה , ואנמא ירידון אנה	بيده , وإنما يريدون أنه
אכ'בר באנה מנקוש . פאד'א	أخبر بأنه منقوش . فإذا
תבעת אלאפכאר פי הד'א	تبعت الأفكار في هذا
אלמג'אז תמכנת פיה , ועלי	المجاز تمكّنت فيه , وعلى
הד'א קאלת אלכתב אנה מן	هذا قالت الكتب إنه من
פעל אללה , אד' קאל :	فعل الله , إذ قال :
H H H H H H H יעני אנה	H H H H H H H *يعني أنه
ירתבהם פי מראתב , וקאל	يرتّبهم في مراتب , وقال
איצ'א H : H : H H H H	أيضًا H : H : H H H H
H H H H H יעני בינת עליה	H H H H H يعني بيّنت عليه
אנה מכ'דוע וכד'לך קולה	أنه مخدوع وكذلك قوله
: H H H H H H מן יוצ'ע	: H H H H H H من يوضح
לה אנה מכ'דוע , וכד'לך	له أنه مخدوع , وكذلك
קולה H : H : H H H H	قوله H : H : H H H H
H H H זור כלאם אלמתנביין	H H H زوّر كلام المتنبّئين
להם באלכשף ענה . וכד'לך	لهم بالكشف عنه . وكذلك
מסאלהֿ אלקום : H H H	مسئلة القول : H H H
H לא תצ'ללנא באן תחכם	H لا تضللنا بأن تحكم
עלינא אנא צ'אלון , בל	علينا أنّا ضالّون , بل
אגפר לנא וארחמנא . ומן	اغفر لنا وارحمنا . ومن
לם יפהם חסב הד'א ואשבאהה	لم يفهم حسب هذا وأشباهه
ג'ברא . ואלכ'אמס באב	جبرًا . والخامس باب
אלמגפרה ירי אלעבד יקול	المغفرة يرى العبد يقول
אסתמלני אליך , ולא תמלני	استملني إليك , ولا تملني
ענך , אד' יקול : H H	عنك , إذ يقول : H H
H H H H H H H H H H פיט'ן	H H H H H H H H H H فيظنّ
אנה אראד באלתמיילין באב	أنه أراد بالتمييليْن باب
אלג'בר , ואנמא הו באב	الجبر , وإنما هو باب
אלמגפרה , יעני אנך אד'א	المغفرة , يعني أنك إذا
